wandb: Appending key for api.wandb.ai to your netrc file: /home/mmm9886/.netrc
wandb: Currently logged in as: mashrafimonon (mashrafimonon-new-york-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.21.0
wandb: Run data is saved locally in /scratch/mmm9886/Chignolin_Trajectory/SOAP_research/Attention_Aggregation/wandb/run-20250709_152203-jcie7b19
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run distinctive-wood-19
wandb: ⭐️ View project at https://wandb.ai/mashrafimonon-new-york-university/mof-settransformer
wandb: 🚀 View run at https://wandb.ai/mashrafimonon-new-york-university/mof-settransformer/runs/jcie7b19
=== MOF SetTransformer Training Pipeline ===

Loading targets from: ../id_labels.csv
CSV columns: ['id', 'label']
CSV shape: (3089, 2)
First few rows:
                                               id      label
0  DB5-hypotheticalMOF_17652_0_0_1_21_9_7_repeat   13.791591
1             DB0-m2_o8_o23_f0_pcu.sym.80_repeat    3.786996
2         DB0-m29_o90_o1500_f0_pts.sym.31_repeat    9.382537
3             DB0-m3_o48_o25_f0_fsc.sym.3_repeat   11.650365
4             DB0-m2_o1_o9_f0_nbo.sym.104_repeat    1.412915
Using 'id' column for filenames and 'label' column for targets
Loaded 3089 target values
Target range: 0.006 to 37.706
Example filename mappings:
  'DB5-hypotheticalMOF_17652_0_0_1_21_9_7_repeat.cif' -> 13.79159108
  'DB0-m2_o8_o23_f0_pcu.sym.80_repeat.cif' -> 3.786995708
  'DB0-m29_o90_o1500_f0_pts.sym.31_repeat.cif' -> 9.382537337
Total CIF files found: 3089
CIF files with targets: 3089
Data split:
  Train files: 2471 (80.0%)
  Test files: 618 (20.0%)
✓ Verified no data leakage between splits
Determining all unique SOAP columns across ENTIRE dataset...
Processing ALL 3089 files to find unique columns...
Processed 0/3089 files, found 0 unique columns so far...
Processed 100/3089 files, found 188 unique columns so far...
Processed 200/3089 files, found 236 unique columns so far...
Processed 300/3089 files, found 282 unique columns so far...
Processed 400/3089 files, found 298 unique columns so far...
Processed 500/3089 files, found 300 unique columns so far...
Processed 600/3089 files, found 312 unique columns so far...
Processed 700/3089 files, found 318 unique columns so far...
Processed 800/3089 files, found 332 unique columns so far...
Processed 900/3089 files, found 332 unique columns so far...
Processed 1000/3089 files, found 352 unique columns so far...
Processed 1100/3089 files, found 354 unique columns so far...
Processed 1200/3089 files, found 372 unique columns so far...
Processed 1300/3089 files, found 386 unique columns so far...
Processed 1400/3089 files, found 394 unique columns so far...
Processed 1500/3089 files, found 420 unique columns so far...
Processed 1600/3089 files, found 424 unique columns so far...
Processed 1700/3089 files, found 424 unique columns so far...
Processed 1800/3089 files, found 450 unique columns so far...
Processed 1900/3089 files, found 450 unique columns so far...
Processed 2000/3089 files, found 450 unique columns so far...
Processed 2100/3089 files, found 452 unique columns so far...
Processed 2200/3089 files, found 456 unique columns so far...
Processed 2300/3089 files, found 458 unique columns so far...
Processed 2400/3089 files, found 464 unique columns so far...
Processed 2500/3089 files, found 466 unique columns so far...
Processed 2600/3089 files, found 466 unique columns so far...
Processed 2700/3089 files, found 470 unique columns so far...
Processed 2800/3089 files, found 472 unique columns so far...
Processed 2900/3089 files, found 482 unique columns so far...
Processed 3000/3089 files, found 484 unique columns so far...
Found 484 unique SOAP columns across ALL files
Initialized SetTransformerAggregation with:
  SOAP dimension: 484
  Unique columns: 484
  channels: 484
  num_seed_points: 1
  num_encoder_blocks: 1
  num_decoder_blocks: 1
  heads: 4
  concat: True
  layer_norm: True
  dropout: 0.3
Initialized prediction head with input dim: 484
Starting end-to-end training for 500 epochs...
Train files: 2471, Test files: 618
Using batch size: 100
Epoch 1/500: Train Loss: 11.292528, Test Loss: 6.113431, Train R²: -2.5488, Test R²: -0.0235, LR: 5.00e-01
Epoch 2/500: Train Loss: 6.225924, Test Loss: 10.964412, Train R²: -0.1380, Test R²: -2.1885, LR: 5.00e-01
Epoch 3/500: Train Loss: 8.577328, Test Loss: 8.574362, Train R²: -1.4038, Test R²: -1.2364, LR: 5.00e-01
Epoch 4/500: Train Loss: 6.868462, Test Loss: 10.283726, Train R²: -0.6391, Test R²: -1.6960, LR: 5.00e-01
Epoch 5/500: Train Loss: 12.438319, Test Loss: 6.365745, Train R²: -2.8936, Test R²: -0.0640, LR: 5.00e-01
Epoch 6/500: Train Loss: 6.885782, Test Loss: 13.055730, Train R²: -0.4005, Test R²: -3.0896, LR: 5.00e-01
Epoch 7/500: Train Loss: 10.545261, Test Loss: 8.092708, Train R²: -2.2332, Test R²: -1.0234, LR: 5.00e-01
Epoch 8/500: Train Loss: 6.586171, Test Loss: 8.455144, Train R²: -0.5119, Test R²: -0.9257, LR: 5.00e-01
Epoch 9/500: Train Loss: 10.186825, Test Loss: 9.546378, Train R²: -1.8061, Test R²: -1.3942, LR: 5.00e-01
Epoch 10/500: Train Loss: 11.603807, Test Loss: 5.938270, Train R²: -2.4765, Test R²: -0.0838, LR: 5.00e-01
Epoch 11/500: Train Loss: 5.771133, Test Loss: 15.158792, Train R²: -0.0015, Test R²: -4.1228, LR: 5.00e-01
Epoch 12/500: Train Loss: 12.635921, Test Loss: 12.946029, Train R²: -3.1609, Test R²: -3.0397, LR: 5.00e-01
Epoch 13/500: Train Loss: 10.453525, Test Loss: 7.496953, Train R²: -2.1979, Test R²: -0.7579, LR: 5.00e-01
Epoch 14/500: Train Loss: 6.216790, Test Loss: 6.677114, Train R²: -0.3234, Test R²: -0.1613, LR: 5.00e-01
Epoch 15/500: Train Loss: 7.314950, Test Loss: 5.975024, Train R²: -0.5779, Test R²: -0.1057, LR: 5.00e-01
Epoch 16/500: Train Loss: 5.743015, Test Loss: 9.285133, Train R²: 0.0015, Test R²: -1.5290, LR: 5.00e-01
Epoch 17/500: Train Loss: 7.416245, Test Loss: 5.949266, Train R²: -0.9033, Test R²: -0.0904, LR: 5.00e-01
Epoch 18/500: Train Loss: 5.764062, Test Loss: 8.612933, Train R²: -0.0007, Test R²: -1.2515, LR: 5.00e-01
Epoch 19/500: Train Loss: 6.946019, Test Loss: 6.158319, Train R²: -0.6849, Test R²: -0.0187, LR: 5.00e-01
Epoch 20/500: Train Loss: 6.462033, Test Loss: 5.872187, Train R²: -0.2316, Test R²: -0.0381, LR: 5.00e-01
Epoch 21/500: Train Loss: 5.867793, Test Loss: 14.525607, Train R²: -0.0205, Test R²: -3.7961, LR: 5.00e-01
Epoch 22/500: Train Loss: 12.003662, Test Loss: 7.755777, Train R²: -2.8658, Test R²: -0.8719, LR: 5.00e-01
Epoch 23/500: Train Loss: 6.370631, Test Loss: 7.029391, Train R²: -0.3977, Test R²: -0.3020, LR: 5.00e-01
Epoch 24/500: Train Loss: 7.954276, Test Loss: 6.445549, Train R²: -0.8366, Test R²: -0.3244, LR: 5.00e-01
Epoch 25/500: Train Loss: 5.786735, Test Loss: 6.288890, Train R²: -0.0645, Test R²: -0.0453, LR: 5.00e-01
Epoch 26/500: Train Loss: 6.673801, Test Loss: 6.801018, Train R²: -0.3171, Test R²: -0.4674, LR: 5.00e-01
Epoch 27/500: Train Loss: 5.909302, Test Loss: 5.866978, Train R²: -0.1425, Test R²: -0.0292, LR: 5.00e-01
Epoch 28/500: Train Loss: 5.901905, Test Loss: 9.457873, Train R²: -0.0274, Test R²: -1.5973, LR: 5.00e-01
Epoch 29/500: Train Loss: 7.532506, Test Loss: 6.115150, Train R²: -0.9563, Test R²: -0.1790, LR: 5.00e-01
