Feature,Importance_Mean,Importance_Std
Li-Li_1,0.4081561004360127,0.030044374793305555
Li-Li_2,0.015402814948996424,0.0020815340069857
Fe-Fe_1,0.013903606205933094,0.0023310646557862407
H-Zn_1,0.012022090108583728,0.0007295791932606898
N-N_1,0.004347692175175988,0.00141544998177644
H-N_1,0.004113202289152041,0.0035312505396238557
O-Zn_1,0.0030588513063432464,0.0004876282997636225
N-Zn_1,0.0030378879690999396,0.0016894046790044983
Cu-N_1,0.003008692114239153,0.0004894885745975236
C-Fe_1,0.0027578487903167303,0.00023691144207484946
N-N_2,0.002521991733315021,0.0012256393152217007
C-N_1,0.0022020817776418067,0.00045898332498944366
C-O_1,0.0018854974842103633,0.00037044081289102395
N-O_1,0.001147582419307991,0.00128888517377492
H-H_1,0.0011372732630767323,0.0003349525354546071
Fe-H_1,0.0008590722388443162,0.0003644908966277957
C-H_1,0.0006975686615048992,0.000782423041693889
Cu-Li_1,0.0005244910137399029,0.00015247343607094924
Cl-Cl_1,0.0005002723708248613,0.00012448579239285893
H-Zn_2,0.0004792234184044286,5.642883405327817e-05
H-Li_1,0.00043470267402874186,0.00023596748224119108
F-O_1,8.739603609075886e-05,1.7211241705527878e-05
Cl-Cl_2,8.127788499563415e-05,8.410638826911442e-05
Cu-Cu_2,7.748481554070707e-05,5.869271062501147e-05
C-N_2,6.150071457908802e-05,5.040392814583769e-05
Cl-H_1,5.9579678022103624e-05,1.109012467037916e-05
H-V_1,5.95106749910812e-05,4.4577857081003375e-05
Li-N_2,5.457764118297348e-05,4.89934850240251e-05
H-N_2,4.697488418470286e-05,8.758652499309968e-06
Co-Co_1,2.987661542777076e-05,1.0877919644928385e-16
C-S_1,2.9830445072409616e-05,7.14819543376106e-05
Br-H_1,2.201077382122385e-05,2.639410563868582e-05
H-S_1,2.0541508305615964e-05,7.114895904835989e-07
Fe-N_1,1.848842253728833e-05,1.5367975411268263e-05
O-V_1,1.6138918153529856e-05,4.750900709753e-06
N-V_1,1.0817513922356526e-05,2.015868256153297e-05
C-H_2,1.9657207997347827e-06,2.5027593309514823e-06
V-V_1,1.858276158550609e-06,5.067376773182719e-06
N-Zn_2,1.390655777555594e-06,6.953278887777969e-07
Li-Zn_1,1.231387300393294e-06,6.317565738344902e-07
Cl-N_1,1.0266648506895848e-06,4.872135479879365e-06
O-O_2,6.876529774935136e-07,1.3753059549870274e-06
Br-N_1,4.966644288284527e-07,2.164161442098312e-06
H-Zr_2,0.0,0.0
C-Mg_1,0.0,0.0
H-Mg_2,0.0,0.0
Eu-Eu_1,0.0,0.0
Eu-Eu_2,0.0,0.0
Eu-H_1,0.0,0.0
Eu-H_2,0.0,0.0
H-Mg_1,0.0,0.0
C-Mg_2,0.0,0.0
Eu-O_1,0.0,0.0
Eu-O_2,0.0,0.0
N-Ti_2,0.0,0.0
N-Ti_1,0.0,0.0
Br-Ti_2,0.0,0.0
Br-Ti_1,0.0,0.0
Eu-N_1,0.0,0.0
Al-N_2,0.0,0.0
Al-N_1,0.0,0.0
Al-H_2,0.0,0.0
Eu-N_2,0.0,0.0
Al-H_1,0.0,0.0
Co-P_1,0.0,0.0
C-Eu_2,0.0,0.0
Mg-Mg_1,0.0,0.0
H-Zr_1,0.0,0.0
Br-V_2,0.0,0.0
C-Zr_2,0.0,0.0
C-Zr_1,0.0,0.0
Er-N_2,0.0,0.0
Al-C_2,0.0,0.0
Er-N_1,0.0,0.0
N-Zr_1,0.0,0.0
N-Zr_2,0.0,0.0
O-Zr_1,0.0,0.0
O-Zr_2,0.0,0.0
Zr-Zr_1,0.0,0.0
Br-V_1,0.0,0.0
Mg-Mg_2,0.0,0.0
Al-S_2,0.0,0.0
Al-S_1,0.0,0.0
Cd-Cl_2,0.0,0.0
Cd-Cl_1,0.0,0.0
Zr-Zr_2,0.0,0.0
Mg-O_2,0.0,0.0
Mg-O_1,0.0,0.0
C-Eu_1,0.0,0.0
Mg-N_2,0.0,0.0
Mg-N_1,0.0,0.0
C-C_1,0.0,0.0
Ce-S_1,0.0,0.0
Al-C_1,0.0,0.0
C-Sc_2,0.0,0.0
H-Ti_2,0.0,0.0
H-Ti_1,0.0,0.0
Cl-Ti_2,0.0,0.0
Cl-Ti_1,0.0,0.0
C-Ti_2,0.0,0.0
C-Ti_1,0.0,0.0
Sc-Sc_2,0.0,0.0
Sc-Sc_1,0.0,0.0
O-Sc_2,0.0,0.0
O-Sc_1,0.0,0.0
H-Sc_2,0.0,0.0
H-Sc_1,0.0,0.0
C-Sc_1,0.0,0.0
Mn-S_2,0.0,0.0
Cl-Pd_2,0.0,0.0
Cl-Pd_1,0.0,0.0
Ca-S_2,0.0,0.0
Ca-S_1,0.0,0.0
Ca-O_2,0.0,0.0
Ca-O_1,0.0,0.0
Ca-H_2,0.0,0.0
Ca-H_1,0.0,0.0
Ca-Ca_2,0.0,0.0
Ca-Ca_1,0.0,0.0
C-Ca_2,0.0,0.0
C-Ca_1,0.0,0.0
O-Ti_1,0.0,0.0
O-Ti_2,0.0,0.0
Ti-Ti_1,0.0,0.0
Ti-Ti_2,0.0,0.0
Mn-S_1,0.0,0.0
P-P_2,0.0,0.0
P-P_1,0.0,0.0
O-P_2,0.0,0.0
O-P_1,0.0,0.0
Al-P_2,0.0,0.0
Al-P_1,0.0,0.0
Al-O_2,0.0,0.0
Al-O_1,0.0,0.0
Al-Al_2,0.0,0.0
Al-Al_1,0.0,0.0
Ce-S_2,0.0,0.0
Br-Ce_1,0.0,0.0
Ce-O_2,0.0,0.0
Ce-O_1,0.0,0.0
Ce-H_2,0.0,0.0
Ce-H_1,0.0,0.0
Ce-Ce_2,0.0,0.0
Ce-Ce_1,0.0,0.0
C-Ce_2,0.0,0.0
C-Ce_1,0.0,0.0
Ca-Cd_2,0.0,0.0
Ca-Cd_1,0.0,0.0
F-V_2,0.0,0.0
F-V_1,0.0,0.0
Co-P_2,0.0,0.0
Gd-Gd_2,0.0,0.0
Br-Ce_2,0.0,0.0
Er-S_2,0.0,0.0
Cl-F_1,0.0,0.0
Tb-Tb_2,0.0,0.0
Tb-Tb_1,0.0,0.0
O-Tb_2,0.0,0.0
O-Tb_1,0.0,0.0
N-Tb_2,0.0,0.0
N-Tb_1,0.0,0.0
H-Tb_2,0.0,0.0
H-Tb_1,0.0,0.0
C-Tb_2,0.0,0.0
C-Tb_1,0.0,0.0
Er-S_1,0.0,0.0
Br-Si_1,0.0,0.0
Sm-Sm_2,0.0,0.0
Sm-Sm_1,0.0,0.0
O-Sm_2,0.0,0.0
O-Sm_1,0.0,0.0
H-Sm_2,0.0,0.0
H-Sm_1,0.0,0.0
C-Sm_2,0.0,0.0
C-Sm_1,0.0,0.0
La-N_2,0.0,0.0
La-N_1,0.0,0.0
Gd-S_2,0.0,0.0
Cl-F_2,0.0,0.0
Br-Si_2,0.0,0.0
Br-F_2,0.0,0.0
Dy-Dy_2,0.0,0.0
F-Ti_1,0.0,0.0
Br-Co_2,0.0,0.0
Br-Co_1,0.0,0.0
Al-F_2,0.0,0.0
Al-F_1,0.0,0.0
Dy-O_2,0.0,0.0
Dy-O_1,0.0,0.0
Dy-N_2,0.0,0.0
Dy-N_1,0.0,0.0
Dy-H_2,0.0,0.0
Dy-H_1,0.0,0.0
Dy-Dy_1,0.0,0.0
Cu-Si_1,0.0,0.0
C-Dy_2,0.0,0.0
C-Dy_1,0.0,0.0
Ni-S_2,0.0,0.0
Ni-S_1,0.0,0.0
Cr-Mn_2,0.0,0.0
Cr-Mn_1,0.0,0.0
N-Si_2,0.0,0.0
N-Si_1,0.0,0.0
F-Si_2,0.0,0.0
F-Si_1,0.0,0.0
Cu-Si_2,0.0,0.0
Gd-S_1,0.0,0.0
Br-F_1,0.0,0.0
Ag-Ag_1,0.0,0.0
O-Y_2,0.0,0.0
Gd-O_1,0.0,0.0
Gd-N_2,0.0,0.0
Gd-N_1,0.0,0.0
Gd-H_2,0.0,0.0
Gd-H_1,0.0,0.0
Cd-F_1,0.0,0.0
Gd-Gd_1,0.0,0.0
C-Gd_2,0.0,0.0
C-Gd_1,0.0,0.0
Y-Y_2,0.0,0.0
Y-Y_1,0.0,0.0
O-Y_1,0.0,0.0
Br-La_1,0.0,0.0
H-Y_2,0.0,0.0
H-Y_1,0.0,0.0
C-Y_2,0.0,0.0
C-Y_1,0.0,0.0
Ag-O_2,0.0,0.0
Ag-O_1,0.0,0.0
Ag-Cr_2,0.0,0.0
Ag-Cr_1,0.0,0.0
Ag-C_2,0.0,0.0
Ag-C_1,0.0,0.0
Ag-Ag_2,0.0,0.0
Gd-O_2,0.0,0.0
Br-La_2,0.0,0.0
N-Ni_2,0.0,0.0
Si-Si_2,0.0,0.0
N-Ni_1,0.0,0.0
In-O_2,0.0,0.0
In-O_1,0.0,0.0
In-In_2,0.0,0.0
In-In_1,0.0,0.0
H-In_2,0.0,0.0
H-In_1,0.0,0.0
C-In_2,0.0,0.0
C-In_1,0.0,0.0
S-V_2,0.0,0.0
S-V_1,0.0,0.0
Si-Si_1,0.0,0.0
Br-Cd_1,0.0,0.0
O-Si_2,0.0,0.0
O-Si_1,0.0,0.0
Mg-Si_2,0.0,0.0
Mg-Si_1,0.0,0.0
H-Si_2,0.0,0.0
H-Si_1,0.0,0.0
C-Si_2,0.0,0.0
C-Si_1,0.0,0.0
I-V_2,0.0,0.0
