filename,Di_A,Df_A,Dif_A,density_gcc,unit_cell_volume_A3,SA_A2,SA_m2_cm3,SA_m2_g,AV_A3,AV_fraction,AV_cm3_g,num_channels,num_pockets
DB0-m12_o14_bcu_repeat,8.11451,5.51466,8.11451,0.720537,2922,632.063,2163.12,3002.09,427.781,0.1464,0.203182,1,1
DB0-m12_o8_o32_tfz-d_repeat,16.18707,12.80705,15.79250,0.364317,7065.98,1242.88,1758.97,4828.13,3585.28,0.5074,1.39274,1,0
DB0-m15_o11_o140_f0_fsc_repeat,7.79926,5.38819,7.79926,0.720727,1673.67,357.103,2133.65,2960.41,203.519,0.1216,0.168718,1,0
DB0-m15_o14_o137_f0_fsc_repeat,5.96666,5.50893,5.94287,1.10213,979.831,143.914,1468.76,1332.66,102.882,0.105,0.0952704,1,0
DB0-m15_o15_o48_f0_fsc_repeat,5.66157,5.37626,5.66157,1.24729,895.095,89.1508,995.992,798.527,38.8471,0.0434,0.0347955,1,0
DB0-m15_o16_o80_f0_fsc_repeat,7.72323,6.87565,7.72323,1.22745,909.561,126.549,1391.32,1133.51,109.875,0.1208,0.0984155,1,0
DB0-m15_o19_o108_f0_fsc_repeat,7.03384,6.69778,7.03384,1.03396,835.343,125.744,1505.3,1455.86,120.791,0.1446,0.139851,1,0
DB0-m15_o22_o89_f0_fsc_repeat,5.46603,4.33225,5.43612,1.26471,767.138,74.8835,976.142,771.831,27.4635,0.0358,0.0283069,1,0
DB0-m15_o24_o79_f0_fsc_repeat,5.85764,5.43766,5.85764,1.15358,898.65,121.42,1351.14,1171.26,80.5191,0.0896,0.0776715,1,0
DB0-m15_o26_o77_f0_fsc_repeat,11.34711,10.88513,11.34711,0.739874,1571.92,232.299,1477.8,1997.37,436.68,0.2778,0.375469,1,0
DB0-m15_o27_o113_f0_fsc_repeat,9.29549,8.79105,9.29301,0.791619,1479.54,244.198,1650.5,2084.97,387.638,0.262,0.330967,1,0
DB0-m15_o28_o140_f0_fsc_repeat,11.45867,8.99771,10.63606,0.450344,4029.3,818.38,2031.07,4510.05,1591.57,0.395,0.877108,1,0
DB0-m15_o2_o142_f0_fsc_repeat,8.04196,5.21138,7.45847,0.790962,1312.71,274.288,2089.48,2641.69,241.276,0.1838,0.232375,1,0
DB0-m15_o6_o59_tfo_repeat,23.12553,17.82638,23.05501,0.182515,14856.3,1743.84,1173.8,6431.25,10907.5,0.7342,4.02268,1,0
DB0-m18_o10_o50_f0_fsc_repeat,6.72772,4.32947,6.72475,0.945057,867.951,163.515,1883.92,1993.45,58.3263,0.0672,0.0711068,1,0
DB0-m18_o11_o110_f0_fsc_repeat,9.10778,5.81218,9.10778,0.615229,2570.85,570.346,2218.51,3605.99,509.542,0.1982,0.322157,1,0
DB0-m18_o11_o85_f0_fsc_repeat,5.73325,4.93897,5.73325,1.18107,816.943,75.6098,925.522,783.632,24.5083,0.03,0.0254008,1,0
DB0-m18_o12_o18_f0_pcu_repeat,11.23723,9.91060,11.22586,0.597175,2214.38,375.144,1694.13,2836.91,622.24,0.281,0.470549,1,0
DB0-m18_o14_o50_f0_fsc_repeat,6.23650,5.41424,6.04290,0.93155,1059,175.003,1652.52,1773.95,90.2272,0.0852,0.0914604,1,0
DB0-m18_o15_o142_f0_fsc_repeat,5.70653,5.42909,5.70653,1.18605,900.41,88.0237,977.595,824.242,39.6181,0.044,0.0370978,1,0
DB0-m18_o16_o58_f0_pcu_repeat,9.09602,6.48312,9.03264,0.537452,3165.79,667.62,2108.86,3923.8,822.472,0.2598,0.483392,1,0
DB0-m18_o17_o44_f0_fsc_repeat,9.65902,9.12069,9.65793,0.753314,1477.22,242.562,1642.01,2179.72,357.193,0.2418,0.320982,1,0
DB0-m18_o17_o50_f0_fsc_repeat,9.90218,9.37657,9.88977,0.734111,1511.4,240.308,1589.97,2165.85,374.524,0.2478,0.337551,1,0
DB0-m18_o20_o92_f0_fsc_repeat,10.50988,9.68347,10.50988,0.50122,2883.47,535.598,1857.48,3705.91,1133.2,0.393,0.784087,1,0
DB0-m18_o22_o108_f0_fsc_repeat,5.65743,5.35383,5.65185,1.28625,741.162,71.4733,964.34,749.728,41.5051,0.056,0.0435373,1,0
DB0-m18_o24_o105_f0_fsc_repeat,6.23393,5.45632,6.23393,0.949512,1122.99,202.933,1807.07,1903.16,112.524,0.1002,0.105528,1,0
DB0-m18_o25_o101_f0_fsc_repeat,10.55646,9.82122,10.52917,0.549573,2466.58,517.84,2099.43,3820.11,796.21,0.3228,0.587365,1,0
DB0-m18_o25_o137_f0_fsc_repeat,10.40935,9.70961,10.40935,0.730019,1519.87,262.769,1728.89,2368.28,364.464,0.2398,0.328485,1,0
DB0-m18_o27_o84_f0_fsc_repeat,10.03612,9.42535,10.03612,0.718497,1618.21,254.969,1575.62,2192.94,436.917,0.27,0.375784,1,0
DB0-m18_o49_o148_f0_fsc_repeat,5.92792,4.54821,5.87917,0.809508,1625.28,385.6,2372.51,2930.81,201.209,0.1238,0.152932,1,0
DB0-m1_o14_smb_repeat,11.56935,6.48770,10.75137,0.832335,5506.82,917.251,1665.66,2001.19,1189.47,0.216,0.259511,1,0
DB0-m1_o16_sni_repeat,18.09440,17.02065,18.09440,0.555145,12805.4,2297.12,1793.86,3231.34,4776.43,0.373,0.671896,1,0
DB0-m1_o30_zxc_repeat,6.55420,5.10397,6.26974,1.00775,2774.75,538.007,1938.94,1924.03,263.601,0.095,0.0942694,2,0
DB0-m1_o40_o6_fsc_repeat,12.80362,10.32632,12.80362,0.578337,2837.12,543.104,1914.28,3309.97,1168.89,0.412,0.712387,1,0
DB0-m1_o41_o17_fsc_repeat,11.28905,9.82702,11.28905,0.760497,2428.62,457.398,1883.37,2476.5,662.041,0.2726,0.35845,1,0
DB0-m1_o41_o25_fsc_repeat,11.58401,9.13681,11.58401,0.702761,2509.86,509.943,2031.76,2891.11,792.612,0.3158,0.44937,1,0
DB0-m1_o8_o8_f0_pcu_repeat,20.46897,15.38368,20.46897,0.255775,7026.12,994.321,1415.18,5532.9,4600.7,0.6548,2.56006,1,0
DB0-m1_o9_o17_f0_pcu_repeat,15.91170,10.19916,15.90464,0.508106,15299.7,3057.07,1998.12,3932.49,6058.7,0.396,0.779365,1,0
DB0-m23_o11_o149_f0_pcu_repeat,7.29975,4.61646,7.29975,0.984702,2121.15,336.145,1584.73,1609.35,180.298,0.085,0.0863205,1,0
DB0-m23_o11_o152_f0_pcu_repeat,7.68996,5.29503,7.01576,0.9462,1522.26,201.292,1322.32,1397.51,136.394,0.0896,0.0946946,1,1
DB0-m23_o151_o58_f0_pcu_repeat,10.04336,7.84018,9.75671,0.672944,3756.28,602.298,1603.44,2382.72,668.619,0.178,0.264509,1,0
DB0-m23_o17_o19_f0_pcu_repeat,8.10548,5.12669,8.10548,0.876842,1714.64,392.543,2289.36,2610.92,187.925,0.1096,0.124994,1,0
DB0-m23_o17_o25_f0_pcu_repeat,8.42481,6.97151,8.27548,0.698847,2636.73,533.393,2022.93,2894.68,576.917,0.2188,0.313087,1,0
DB0-m23_o1_o151_f0_pcu_repeat,7.32064,5.26990,7.32064,1.01858,1489.19,180.602,1212.75,1190.63,112.881,0.0758,0.0744173,1,0
DB0-m23_o20_o27_f0_pcu_repeat,12.02655,7.83582,11.61749,0.470257,3592.81,777.592,2164.3,4602.38,1482.39,0.4126,0.877393,1,0
DB0-m23_o25_o25_f0_pcu_repeat,8.74484,6.85001,8.74484,0.575461,2913.17,703.44,2414.69,4196.09,767.912,0.2636,0.458068,1,0
DB0-m23_o7_o20_f0_pcu_repeat,11.41480,8.44887,11.29576,0.509263,2952.25,607.319,2057.14,4039.45,1130.71,0.383,0.752068,1,0
DB0-m29_o80_o100_f0_pts.sym.10_repeat,8.72501,5.83421,8.60659,0.714479,2613.58,466.462,1784.77,2498,435.422,0.1666,0.233177,1,4
DB0-m29_o80_o110_f0_pts.sym.18_repeat,10.67081,8.38388,10.26336,0.688625,2645.94,483.428,1827.06,2653.2,766.264,0.2896,0.420548,1,0
DB0-m29_o80_o147_f0_pts.sym.24_repeat,9.74320,6.66743,9.73497,0.805712,2263.5,496.398,2193.05,2721.88,420.106,0.1856,0.230355,1,0
DB0-m29_o80_o148_f0_pts.sym.82_repeat,7.69313,6.38258,7.69313,0.797014,2086.34,307.192,1472.39,1847.39,239.512,0.1148,0.144038,1,1
DB0-m29_o80_o149_f0_pts.sym.37_repeat,8.63317,7.48449,8.63317,0.759573,2258.94,454.56,2012.27,2649.21,440.042,0.1948,0.25646,1,0
DB0-m29_o80_o1500_f0_pts.sym.61_repeat,8.73821,6.77287,8.73821,0.653047,3104.2,590.12,1901.04,2911.03,561.86,0.181,0.277162,1,0
DB0-m29_o80_o150_f0_pts.sym.108_repeat,9.26284,8.05488,9.26284,0.699157,2628.98,437.255,1663.21,2378.88,542.621,0.2064,0.295213,1,0
DB0-m29_o80_o150_f0_pts.sym.60_repeat,10.29371,8.97904,10.29371,0.643563,2746.3,575.15,2094.27,3254.18,726.123,0.2644,0.410838,1,0
DB0-m29_o80_o151_f0_pts.sym.31_repeat,9.03656,7.58960,9.03656,0.658441,3249.89,640.103,1969.62,2991.33,667.527,0.2054,0.311949,1,0
DB0-m29_o80_o153_f0_pts.sym.68_repeat,8.69222,7.93437,8.69222,0.841418,2321.98,271.62,1169.78,1390.25,311.145,0.134,0.159255,1,2
DB0-m29_o80_o44_f0_pts.sym.17_repeat,10.74826,10.01785,10.74826,0.688086,2495.91,481.512,1929.2,2803.73,596.522,0.239,0.34734,1,0
DB0-m29_o80_o46_f0_pts.sym.76_repeat,8.46535,6.84749,8.46535,0.838487,1901.76,284.89,1498.03,1786.59,284.123,0.1494,0.178178,1,0
DB0-m29_o80_o46_f0_pts.sym.9_repeat,7.30685,5.55818,7.19285,0.776232,1947.19,411.688,2114.26,2723.75,299.089,0.1536,0.197879,1,0
DB0-m29_o80_o470_f0_pts.sym.5_repeat,6.98204,4.73278,6.79143,0.800521,2274.47,412.133,1812,2263.52,235.635,0.1036,0.129416,1,0
DB0-m29_o80_o490_f0_pts.sym.2_repeat,8.32341,6.52070,8.27805,0.706529,2374.71,498.136,2097.67,2968.98,515.787,0.2172,0.307418,1,0
DB0-m29_o80_o49_f0_pts.sym.25_repeat,9.44684,8.64524,9.30648,1.01408,2102.37,282.104,1341.84,1323.22,356.561,0.1696,0.167246,1,0
DB0-m29_o80_o500_f0_pts.sym.42_repeat,8.14645,5.55232,8.14645,0.728503,2284.89,427.961,1873,2571.03,314.401,0.1376,0.18888,1,0
DB0-m29_o80_o52_f0_pts.sym.1_repeat,10.92856,10.02573,10.91009,0.617723,2689.02,536.941,1996.79,3232.5,739.481,0.275,0.445183,1,2
DB0-m29_o80_o87_f0_pts.sym.11_repeat,6.16406,4.28551,5.88609,0.960111,1466.99,172.371,1174.99,1223.81,62.7873,0.0428,0.0445782,1,2
DB0-m29_o80_o90_f0_pts.sym.84_repeat,11.68466,9.70149,11.68466,0.605131,2997.94,549.737,1833.71,3030.28,988.722,0.3298,0.545006,1,0
DB0-m29_o80_o90_f0_pts.sym.9_repeat,11.57610,8.67554,11.57038,0.609693,2806.22,540.444,1925.88,3158.78,872.172,0.3108,0.509765,1,0
DB0-m29_o81_o143_f0_pts.sym.28_repeat,10.79847,9.52978,10.79847,0.605548,2737.75,515.646,1883.46,3110.34,826.802,0.302,0.498722,1,1
DB0-m29_o81_o143_f0_pts.sym.30_repeat,12.54365,11.28642,12.54365,0.585997,2715.56,482.382,1776.36,3031.35,908.627,0.3346,0.570992,1,0
DB0-m29_o81_o1470_f0_pts.sym.64_repeat,8.13267,6.00584,7.67248,0.691595,2440.7,497.262,2037.38,2945.91,419.8,0.172,0.2487,1,0
DB0-m29_o81_o147_f0_pts.sym.9_repeat,9.97046,8.72153,9.57551,0.71377,2231.44,452.559,2028.1,2841.39,589.548,0.2642,0.370147,1,0
DB0-m29_o81_o148_f0_pts.sym.30_repeat,8.90199,6.52299,8.85486,0.728693,2158.67,448.803,2079.07,2853.15,424.826,0.1968,0.270072,1,0
DB0-m29_o81_o1490_f0_pts.sym.43_repeat,11.16580,8.51872,11.01331,0.625004,2442.5,478.991,1961.07,3137.7,691.715,0.2832,0.453117,1,0
DB0-m29_o81_o149_f0_pts.sym.19_repeat,7.86212,5.52307,7.50852,0.780159,2212.38,421.425,1904.85,2441.62,342.034,0.1546,0.198165,1,0
DB0-m29_o81_o1500_f0_pts.sym.2_repeat,11.19891,9.54281,11.19891,0.512719,3052,642.23,2104.29,4104.18,1105.43,0.3622,0.70643,1,0
DB0-m29_o81_o1510_f0_pts.sym.19_repeat,12.32714,8.97976,12.05967,0.477992,3596.96,715.673,1989.66,4162.54,1416.48,0.3938,0.823863,1,0
DB0-m29_o81_o1530_f0_pts.sym.10_repeat,10.41974,9.48800,10.41974,0.564831,2729.05,552.535,2024.64,3584.51,963.902,0.3532,0.62532,1,0
DB0-m29_o81_o1530_f0_pts.sym.42_repeat,8.82187,7.26610,8.82187,0.684805,2726.81,533.643,1957.02,2857.78,557.36,0.2044,0.298479,1,0
DB0-m29_o81_o420_f0_pts.sym.8_repeat,11.25268,8.44604,10.70129,0.583947,2429.05,500.67,2061.18,3529.73,821.99,0.3384,0.579504,1,0
DB0-m29_o81_o43_f0_pts.sym.12_repeat,11.01266,9.49940,11.01266,0.590462,2729.05,510.516,1870.67,3168.15,746.124,0.2734,0.463027,1,0
DB0-m29_o81_o44_f0_pts.sym.23_repeat,12.16632,9.61270,11.53399,0.610346,2492.65,515.413,2067.73,3387.8,768.235,0.3082,0.504959,1,0
DB0-m29_o81_o46_f0_pts.sym.76_repeat,7.16439,6.10774,7.06045,0.778465,1924.67,381.672,1983.05,2547.38,317.186,0.1648,0.211699,1,0
DB0-m29_o81_o490_f0_pts.sym.12_repeat,11.24306,8.48243,11.22446,0.624506,2431.1,471.324,1938.73,3104.42,732.732,0.3014,0.482621,1,0
DB0-m29_o81_o51_f0_pts.sym.56_repeat,9.65139,8.70235,9.65139,0.635268,2484.22,538.605,2168.11,3412.9,592.734,0.2386,0.37559,1,0
DB0-m29_o81_o51_f0_pts.sym.99_repeat,9.89333,7.22272,9.89333,0.614267,2487.97,571.534,2297.19,3739.73,634.432,0.255,0.415129,1,0
DB0-m29_o81_o52_f0_pts.sym.49_repeat,11.04707,9.74585,11.04362,0.577021,2763.63,549.079,1986.8,3443.2,881.598,0.319,0.552839,1,0
DB0-m29_o81_o530_f0_pts.sym.10_repeat,11.61385,8.38054,11.55101,0.501171,3745.56,777.449,2075.66,4141.62,1402.34,0.3744,0.747051,1,0
DB0-m29_o81_o530_f0_pts.sym.91_repeat,11.62542,8.35303,11.52218,0.507793,3745.67,780.686,2084.24,4104.5,1400.88,0.374,0.736521,1,0
DB0-m29_o81_o53_f0_pts.sym.74_repeat,10.01661,8.63607,9.93185,0.620306,3192.35,651.755,2041.62,3291.31,785.318,0.246,0.396578,1,0
DB0-m29_o81_o86_f0_pts.sym.3_repeat,10.43481,8.68021,10.37777,0.682166,2430.27,435.97,1793.92,2629.74,639.161,0.263,0.385537,1,0
DB0-m29_o81_o87_f0_pts.sym.63_repeat,5.23603,4.17033,5.23603,1.0363,1456.94,58.8305,403.796,389.651,14.278,0.0098,0.0094567,1,3
DB0-m29_o81_o90_f0_pts.sym.105_repeat,10.73201,8.58948,10.70497,0.627313,2723.29,531.817,1952.84,3113.03,754.352,0.277,0.441566,1,0
DB0-m29_o81_o90_f0_pts.sym.21_repeat,12.11827,11.57300,12.11827,0.59666,2755.82,505.875,1835.66,3076.56,951.31,0.3452,0.578554,1,0
DB0-m29_o81_o91_f0_pts.sym.86_repeat,9.85338,8.40496,9.85338,0.59485,3147.19,687.638,2184.92,3673.07,910.798,0.2894,0.486509,1,0
DB0-m29_o81_o92_f0_pts.sym.27_repeat,11.32099,9.42448,11.32099,0.612993,3637.01,613.12,1685.78,2750.08,1104.92,0.3038,0.495601,1,0
DB0-m29_o82_o109_f0_pts.sym.74_repeat,11.03773,7.54727,11.03773,0.635709,2618.29,489.638,1870.07,2941.71,764.54,0.292,0.459329,1,0
DB0-m29_o82_o143_f0_pts.sym.79_repeat,10.46437,8.56389,10.46437,0.669719,2408.43,450.554,1870.74,2793.32,582.84,0.242,0.361345,1,0
DB0-m29_o82_o147_f0_pts.sym.12_repeat,8.44343,5.92419,8.44343,0.780654,1995.82,405.622,2032.36,2603.41,360.445,0.1806,0.231344,1,0
DB0-m29_o82_o149_f0_pts.sym.44_repeat,9.85236,7.51180,9.71917,0.747819,1983.45,381.671,1924.28,2573.19,424.458,0.214,0.286165,1,0
DB0-m29_o82_o1500_f0_pts.sym.118_repeat,9.92073,6.64028,9.57077,0.619375,2719.44,602.085,2214,3574.58,674.421,0.248,0.400404,1,0
DB0-m29_o82_o150_f0_pts.sym.106_repeat,7.88991,6.63774,7.88991,0.682216,2498.58,553.747,2216.25,3248.6,354.799,0.142,0.208145,1,0
DB0-m29_o82_o172_f0_pts.sym.17_repeat,11.13549,8.05776,11.13347,0.473487,5665.6,1251.38,2208.74,4664.83,1985.23,0.3504,0.740041,1,0
DB0-m29_o82_o45_f0_pts.sym.5_repeat,10.10389,8.63794,9.72873,0.69369,2238.44,463.804,2072,2986.92,558.267,0.2494,0.359527,1,0
DB0-m29_o82_o45_f0_pts.sym.96_repeat,10.50835,8.17635,9.71086,0.688832,2223.2,454.112,2042.6,2965.31,535.792,0.241,0.349868,1,0
DB0-m29_o82_o46_f0_pts.sym.2_repeat,7.81567,5.43688,7.70339,0.804129,1706.1,345.012,2022.23,2514.8,233.736,0.137,0.170371,1,0
DB0-m29_o82_o46_f0_pts.sym.72_repeat,8.40287,5.34708,8.39331,0.819626,1732.59,345.541,1994.36,2433.26,270.631,0.1562,0.190575,1,0
DB0-m29_o82_o53_f0_pts.sym.58_repeat,8.65624,7.09114,8.65624,0.659288,2917.92,643.04,2203.76,3342.64,618.015,0.2118,0.321256,1,0
DB0-m29_o82_o86_f0_pts.sym.15_repeat,9.49001,7.04754,9.45617,0.781905,2186.14,368.173,1684.12,2153.87,430.232,0.1968,0.251693,1,0
DB0-m29_o82_o86_f0_pts.sym.50_repeat,8.92668,6.88132,8.25748,0.832273,2191.62,366.926,1674.22,2011.63,355.92,0.1624,0.195128,1,0
DB0-m29_o83_o100_f0_pts.sym.20_repeat,9.71874,8.25248,9.71874,0.679548,2581.66,468.655,1815.32,2671.37,574.679,0.2226,0.327571,1,0
DB0-m29_o83_o100_f0_pts.sym.5_repeat,9.60817,6.00090,9.59505,0.68207,2615.87,505.4,1932.05,2832.63,554.564,0.212,0.310818,1,0
DB0-m29_o83_o102_f0_pts.sym.41_repeat,9.95262,7.68532,9.95262,0.691312,2513.52,458.496,1824.12,2638.63,566.045,0.2252,0.325757,1,0
DB0-m29_o83_o1470_f0_pts.sym.21_repeat,9.09755,7.88566,8.76211,0.688105,2467.35,475.428,1926.87,2800.26,541.831,0.2196,0.319137,1,0
DB0-m29_o83_o147_f0_pts.sym.100_repeat,8.25177,5.61944,8.23073,0.771056,2292.54,402.979,1757.78,2279.71,300.781,0.1312,0.170156,1,0
DB0-m29_o83_o147_f0_pts.sym.105_repeat,8.83132,6.08257,8.46373,0.702386,2206.46,477.142,2162.48,3078.76,500.426,0.2268,0.322899,1,0
DB0-m29_o83_o147_f0_pts.sym.87_repeat,8.45333,8.02818,8.44028,0.711866,2275.24,446.839,1963.92,2758.84,471.43,0.2072,0.291066,1,1
DB0-m29_o83_o1510_f0_pts.sym.46_repeat,11.55825,9.39302,10.54260,0.460835,3951.14,821.381,2078.85,4511.05,1509.33,0.382,0.82893,1,0
DB0-m29_o83_o430_f0_pts.sym.56_repeat,11.90059,10.66900,11.90059,0.492968,3180.92,673.664,2117.82,4296.07,1210.02,0.3804,0.771653,1,0
DB0-m29_o83_o43_f0_pts.sym.24_repeat,11.10487,10.17414,11.10487,0.581074,2869.98,605.63,2110.22,3631.59,907.489,0.3162,0.544165,1,0
DB0-m29_o83_o46_f0_pts.sym.28_repeat,8.12403,6.65207,8.01650,0.722208,1964.13,406.692,2070.6,2867.04,381.041,0.194,0.268621,1,0
DB0-m29_o83_o470_f0_pts.sym.102_repeat,9.71821,8.60743,9.44449,0.647476,2431.98,515.269,2118.72,3272.28,679.009,0.2792,0.431213,1,0
DB0-m29_o83_o470_f0_pts.sym.50_repeat,8.78935,6.74465,8.16652,0.668616,2420.07,489.759,2023.74,3026.76,428.837,0.1772,0.265025,1,0
DB0-m29_o83_o470_f0_pts.sym.5_repeat,9.96079,8.80291,9.96079,0.600626,2422.56,493.097,2035.44,3388.86,750.025,0.3096,0.515463,1,0
DB0-m29_o83_o500_f0_pts.sym.14_repeat,9.75256,6.77076,9.75256,0.650604,2277.41,459.768,2018.82,3102.99,560.699,0.2462,0.378418,1,0
DB0-m29_o83_o510_f0_pts.sym.26_repeat,11.36600,9.40196,11.36600,0.572279,2828.46,552.973,1955.03,3416.22,877.388,0.3102,0.542043,1,0
DB0-m29_o83_o53_f0_pts.sym.16_repeat,10.39813,7.91121,10.31362,0.56884,3346.69,748.326,2236.02,3930.84,1044.17,0.312,0.548485,1,0
DB0-m29_o83_o53_f0_pts.sym.20_repeat,10.06437,8.33347,10.06437,0.555591,3348.6,764.322,2282.51,4108.26,1123.79,0.3356,0.604042,1,0
DB0-m29_o83_o54_f0_pts.sym.31_repeat,9.98160,7.50671,9.97233,0.566413,3994.51,876.49,2194.24,3873.91,1291.82,0.3234,0.570961,1,0
DB0-m29_o83_o86_f0_pts.sym.2_repeat,11.10505,9.19860,11.10505,0.679829,2488.5,454.419,1826.08,2686.08,690.806,0.2776,0.408338,1,0
DB0-m29_o83_o87_f0_pts.sym.31_repeat,7.61947,4.52348,7.43118,0.947167,1480.04,223.256,1508.45,1592.59,112.779,0.0762,0.0804505,1,0
DB0-m29_o83_o87_f0_pts.sym.50_repeat,6.42754,4.79474,6.34192,1.03079,1482.56,155.22,1046.97,1015.7,82.4303,0.0556,0.0539391,1,0
DB0-m29_o84_o102_f0_pts.sym.51_repeat,8.67257,7.36890,8.67257,0.829651,1942.01,304.597,1568.46,1890.51,341.406,0.1758,0.211896,1,0
DB0-m29_o84_o108_f0_pts.sym.30_repeat,9.93345,8.54689,9.90877,0.845112,2035.94,334.963,1645.25,1946.78,449.534,0.2208,0.261267,1,0
DB0-m29_o84_o111_f0_pts.sym.17_repeat,8.09007,4.67875,8.09007,0.800711,2139.06,391.251,1829.08,2284.32,290.484,0.1358,0.169599,1,0
DB0-m29_o84_o143_f0_pts.sym.31_repeat,8.89635,6.15253,8.89311,0.748899,2169.39,386.373,1781.02,2378.19,327.144,0.1508,0.201362,1,0
DB0-m29_o84_o148_f0_pts.sym.47_repeat,6.42868,4.75646,6.40815,0.908728,1723.71,274.994,1595.36,1755.59,136.518,0.0792,0.0871548,1,1
DB0-m29_o84_o149_f0_pts.sym.26_repeat,9.06152,6.65026,9.06152,0.804436,1759.12,334.386,1900.88,2362.99,330.714,0.188,0.233704,1,0
DB0-m29_o84_o1500_f0_pts.sym.124_repeat,9.20198,5.94800,9.01412,0.739252,2379.71,414.37,1741.26,2355.43,407.407,0.1712,0.231585,1,0
DB0-m29_o84_o150_f0_pts.sym.13_repeat,7.96857,5.46799,7.85534,0.772193,2232.98,425.093,1903.7,2465.31,284.929,0.1276,0.165244,1,0
DB0-m29_o84_o420_f0_pts.sym.55_repeat,8.65189,6.75129,8.65189,0.778761,1913.24,358.467,1873.62,2405.89,347.444,0.1816,0.233191,1,0
DB0-m29_o84_o45_f0_pts.sym.126_repeat,7.97304,5.52400,7.97304,0.841679,1995.25,339.577,1701.93,2022.06,259.383,0.13,0.154453,1,0
