filename,origin,combined_rank,new_index,new_batch_500
DB0-m12_o14_bcu_repeat,original,1,,
DB0-m12_o8_o32_tfz-d_repeat,original,2,,
DB0-m15_o11_o140_f0_fsc_repeat,original,3,,
DB0-m15_o12_nbo_repeat,new,4,1,1
DB0-m15_o14_o137_f0_fsc_repeat,original,5,,
DB0-m15_o14_o95_f0_fsc_repeat,new,6,2,1
DB0-m15_o15_o109_f0_fsc_repeat,new,7,3,1
DB0-m15_o15_o48_f0_fsc_repeat,original,8,,
DB0-m15_o16_o80_f0_fsc_repeat,original,9,,
DB0-m15_o19_o108_f0_fsc_repeat,original,10,,
DB0-m15_o21_o140_f0_fsc_repeat,new,11,4,1
DB0-m15_o22_o101_f0_fsc_repeat,new,12,5,1
DB0-m15_o22_o89_f0_fsc_repeat,original,13,,
DB0-m15_o24_o108_f0_fsc_repeat,new,14,6,1
DB0-m15_o24_o79_f0_fsc_repeat,original,15,,
DB0-m15_o26_o141_f0_fsc_repeat,new,16,7,1
DB0-m15_o26_o77_f0_fsc_repeat,original,17,,
DB0-m15_o27_o113_f0_fsc_repeat,original,18,,
DB0-m15_o28_o140_f0_fsc_repeat,original,19,,
DB0-m15_o28_o89_f0_fsc_repeat,new,20,8,1
DB0-m15_o2_o142_f0_fsc_repeat,original,21,,
DB0-m15_o44_o151_f0_fsc_repeat,new,22,9,1
DB0-m15_o45_o149_f0_fsc_repeat,new,23,10,1
DB0-m15_o4_o46_f0_fsc_repeat,new,24,11,1
DB0-m15_o6_o59_tfo_repeat,original,25,,
DB0-m15_o8_o49_f0_fsc_repeat,new,26,12,1
DB0-m15_o8_o84_f0_fsc_repeat,new,27,13,1
DB0-m15_o8_o86_f0_fsc_repeat,new,28,14,1
DB0-m18_o10_o50_f0_fsc_repeat,original,29,,
DB0-m18_o11_o110_f0_fsc_repeat,original,30,,
DB0-m18_o11_o85_f0_fsc_repeat,original,31,,
DB0-m18_o12_o140_f0_fsc_repeat,new,32,15,1
DB0-m18_o12_o18_f0_pcu_repeat,original,33,,
DB0-m18_o14_o50_f0_fsc_repeat,original,34,,
DB0-m18_o15_o142_f0_fsc_repeat,original,35,,
DB0-m18_o16_o58_f0_pcu_repeat,original,36,,
DB0-m18_o16_o78_f0_fsc_repeat,new,37,16,1
DB0-m18_o17_o44_f0_fsc_repeat,original,38,,
DB0-m18_o17_o50_f0_fsc_repeat,original,39,,
DB0-m18_o18_o42_f0_fsc_repeat,new,40,17,1
DB0-m18_o20_o92_f0_fsc_repeat,original,41,,
DB0-m18_o22_o108_f0_fsc_repeat,original,42,,
DB0-m18_o22_o137_f0_fsc_repeat,new,43,18,1
DB0-m18_o23_o38_f0_fsc_repeat,new,44,19,1
DB0-m18_o24_o105_f0_fsc_repeat,original,45,,
DB0-m18_o24_o48_f0_fsc_repeat,new,46,20,1
DB0-m18_o25_o101_f0_fsc_repeat,original,47,,
DB0-m18_o25_o137_f0_fsc_repeat,original,48,,
DB0-m18_o27_o84_f0_fsc_repeat,original,49,,
DB0-m18_o28_o108_f0_fsc_repeat,new,50,21,1
DB0-m18_o49_o148_f0_fsc_repeat,original,51,,
DB0-m1_o12_vmd_repeat,new,52,22,1
DB0-m1_o14_smb_repeat,original,53,,
DB0-m1_o16_o36_pte_repeat,new,54,23,1
DB0-m1_o16_sni_repeat,original,55,,
DB0-m1_o22_vmd_repeat,new,56,24,1
DB0-m1_o26_sda_repeat,new,57,25,1
DB0-m1_o30_zxc_repeat,original,58,,
DB0-m1_o32_o10_muo_repeat,new,59,26,1
DB0-m1_o40_o6_fsc_repeat,original,60,,
DB0-m1_o41_o17_fsc_repeat,original,61,,
DB0-m1_o41_o25_fsc_repeat,original,62,,
DB0-m1_o6_o9_f0_pcu_repeat,new,63,27,1
DB0-m1_o8_o8_f0_pcu_repeat,original,64,,
DB0-m1_o9_lcy_repeat,new,65,28,1
DB0-m1_o9_o17_f0_pcu_repeat,original,66,,
