filename,origin,combined_rank,new_index,new_batch_500
DB0-m2_o17_o29_f0_pcu.sym.50_repeat,original,1180,,
DB1-Zn2O8N2-DPAC_A-irmof10_A_No86_repeat,original,5059,,
DB0-m3_o145_o159_f0_fsc.sym.3_repeat,original,2359,,
DB0-m29_o88_o90_f0_pts.sym.68_repeat,original,423,,
DB0-m29_o96_o86_f0_pts.sym.40_repeat,original,709,,
DB0-m3_o146_o23_f0_fsc.sym.5_repeat,original,2393,,
DB0-m3_o20_o25_f0_nbo.sym.103_repeat,original,3083,,
DB1-Zn2O8-irmof10_A-irmof7_A_No474_repeat,original,4957,,
DB0-m3_o24_o93_f0_fsc.sym.2_repeat,original,3251,,
DB0-m2_o2_o19_f0_nbo.sym.30_repeat,original,1477,,
DB0-m3_o3_o11_f0_pcu.sym.102_repeat,original,3433,,
DB0-m29_o81_o43_f0_pts.sym.12_repeat,original,166,,
DB7-ddmof_5786_repeat,original,6079,,
DB0-m3_o12_o29_f0_pcu.sym.88_repeat,original,2291,,
DB0-m3_o12_o29_f0_pcu.sym.97_repeat,original,2294,,
DB0-m2_o8_umw_repeat,original,1891,,
DB0-m3_o1520_o22_f0_fsc.sym.21_repeat,original,2574,,
DB0-m2_o11_o29_f0_pcu.sym.30_repeat,original,930,,
DB0-m2_o12_o28_f0_pcu.sym.4_repeat,original,976,,
DB1-Cu2O8N2-ADC_A-irmof8_A_No553_repeat,original,4644,,
DB0-m9_o6_o23_f0_sra.sym.91_repeat,original,4326,,
DB0-m3_o4_o15_f0_nbo.sym.22_repeat,original,3635,,
DB0-m2_o6_o27_f0_nbo.sym.72_repeat,original,1746,,
DB0-m3_o14_o28_f0_pcu.sym.3_repeat,original,2517,,
DB0-m9_o2_o23_f0_sra.sym.100_repeat,original,4280,,
DB0-m2_o18_o89_f0_fsc_repeat,original,1203,,
DB7-ddmof_18405_repeat,original,5999,,
DB0-m3_o41_o41_f0_fof.sym.17_repeat,original,3493,,
DB0-m29_o84_o45_f0_pts.sym.126_repeat,original,311,,
DB0-m2_o14_o74_f0_fsc_repeat,original,1074,,
DB0-m3_o2_o8_f0_pcu.sym.87_repeat,original,3397,,
DB5-hypotheticalMOF_5066737_0_0_2_8_1_2_repeat,original,5718,,
DB0-m3_o7_o19_f0_pcu.sym.22_repeat,original,3897,,
DB5-hypotheticalMOF_5032752_0_0_0_29_3_5_repeat,original,5606,,
DB0-m3_o470_o6_f0_fsc.sym.8_repeat,original,3585,,
DB0-m2_o20_o24_f0_pcu.sym.19_repeat,original,1295,,
DB1-Cu2O8N2-irmof10_A-irmof14_A_No319_repeat,original,4784,,
DB1-Cu2O8-ADC_A-irmof6_A_No193_repeat,original,4476,,
DB0-m2_o7_o19_f0_nbo.sym.79_repeat,original,1784,,
DB0-m29_o89_o102_f0_pts.sym.4_repeat,original,426,,
DB0-m2_o8_o23_f0_pcu.sym.109_repeat,original,1865,,
DB0-m2_o2_o16_f0_pcu.sym.74_repeat,original,1470,,
DB0-m3_o51_o159_f0_fsc.sym.38_repeat,original,3709,,
DB0-m3_o11_o92_f0_fsc_repeat,original,2195,,
DB0-m3_o153_o4_f0_fsc.sym.34_repeat,original,2632,,
DB0-m3_o23_o23_f0_pcu.sym.45_repeat,original,3171,,
DB0-m29_o89_o171_f0_pts.sym.65_repeat,original,441,,
DB0-m3_o20_o92_f0_fsc_repeat,original,3097,,
DB1-Cu2O8N2-ADC_A-irmof7_A_No803_repeat,original,4640,,
