Folder Name,H2S_uptake capacity  [mol/kg]
DB0-m2_o22_unc_repeat,39.15239
DB7-ddmof_22248_repeat,34.68723
DB0-m3_o24_o105_f0_fsc.sym.28_repeat,10.00087
DB5-hypotheticalMOF_5053114_2_0_1_27_15_5_repeat,62.16669
DB0-m29_o97_o510_f0_pts.sym.65_repeat,28.4024
DB0-m9_o13_o16_f0_sra.sym.30_repeat,10.67904
DB0-m3_o510_o15_f0_fsc.sym.15_repeat,5.577225
DB0-m2_o2_o4_f0_pcu.sym.24_repeat,31.20454
DB13-acs-Syn038362_repeat,26.47259
DB0-m2_o14_o27_f0_nbo.sym.49_repeat,43.75597
DB0-m2_o9_o29_f0_pcu.sym.62_repeat,30.05512
DB0-m3_o160_o530_f0_fsc.sym.58_repeat,22.88478
DB0-m3_o450_o6_f0_fsc.sym.16_repeat,20.66948
DB0-m3_o7_o11_f0_nbo.sym.162_repeat,86.49008
DB0-m3_o1_o9_f0_nbo.sym.38_repeat,42.19337
DB0-m29_o91_o1470_f0_pts.sym.44_repeat,19.15682
DB0-m3_o1490_o156_f0_fsc.sym.67_repeat,14.21089
DB0-m9_o21_o26_f0_sra.sym.12_repeat,33.91534
DB0-m3_o8_o12_f0_pcu.sym.126_repeat,30.16717
DB0-m3_o23_o26_f0_pcu.sym.69_repeat,43.23379
DB5-hypotheticalMOF_16954_1_1_1_26_9_7_repeat,5.606001
DB5-hypotheticalMOF_1002947_0_0_3_22_7_6_repeat,8.709824
DB0-m2_o14_o25_f0_nbo.sym.13_repeat,45.74804
DB0-m2_o27_o77_f0_fsc_repeat,23.85943
DB0-m3_o13_o15_f0_pcu.sym.51_repeat,15.40234
DB1-Zn2O8N2-DPAC_A-irmof20_A_No322_repeat,43.81007
DB5-hypotheticalMOF_5039757_3_1_1_15_11_4_repeat,13.10458
DB0-m3_o7_o148_f0_pcu_repeat,55.64746
DB0-m2_o20_o23_f0_nbo.sym.100_repeat,65.3567
DB0-m29_o90_o47_f0_pts.sym.44_repeat,26.23152
DB0-m29_o93_o151_f0_pts.sym.72_repeat,36.12504
